"Rank","Player","Pos","Team","TOT TKL","SOLO TKL","QB HITS","SACKS","FFUM","FUM REC","PASS DEF","TD","INT",""
"","Fred Warner","OLB","SF","118","90","5","3","2","0","9","1","1",""
"","Dre Greenlaw","LB","SF","92","64","2","1","0","0","2","0","1",""
"","Anthony Hitchens","ILB","KC","88","51","4","2","1","0","1","0","0",""
"","Damien Wilson","OLB","KC","81","52","4","2","1","0","1","0","0",""
"","Tyrann Mathieu","FS","KC","75","63","2","2","0","0","12","0","4",""
"","Charvarius Ward","CB","KC","74","56","0","0","1","0","11","0","2",""
"","DeForest Buckner","DT","SF","62","34","14","8","2","4","2","1","0",""
"","Richard Sherman","CB","SF","61","48","0","0","0","0","11","1","3",""
"","Juan Thornhill","S","KC","58","42","0","0","0","0","5","1","3",""
"","Daniel Sorensen","SS","KC","57","44","2","0","0","0","4","0","2",""
"","Ben Niemann","LB","KC","56","35","1","0","0","0","1","0","0",""
"","K'Waun Williams","CB","SF","51","35","4","1","3","0","2","0","2",""
"","Jaquiski Tartt","SS","SF","48","34","1","1","1","2","2","0","0",""
"","Derrick Nnadi","DT","KC","48","18","2","1","1","0","1","0","1",""
"","Nick Bosa","DE","SF","42","28","6","6","0","2","0","0","0",""
"","Marcell Harris","S","SF","40","23","1","0","3","1","5","0","0",""
"","Frank Clark","DE","KC","37","27","16","8","3","1","4","0","1",""
"","Kwon Alexander","ILB","SF","34","22","1","1","1","0","4","0","1",""
"","Tanoh Kpassagnon","DE","KC","29","21","11","4","1","1","2","0","0",""
"","Ahkello Witherspoon","CB","SF","28","24","0","0","0","0","9","1","1",""
"","Tarvarius Moore","FS","SF","25","16","0","0","0","0","2","0","0",""
"","D.J. Jones","DT","SF","23","19","2","2","1","0","0","0","0",""
"","Alex Okafor","DE","KC","22","15","9","5","1","0","1","0","0",""
"","Khalen Saunders","DT","KC","22","13","2","1","0","0","1","0","0",""
"","Solomon Thomas","DE","SF","21","15","6","2","0","0","0","0","0",""
"","Armani Watts","S","KC","17","13","1","1","0","0","0","0","0",""
"","Azeez Al-Shaair","LB","SF","17","11","0","0","0","0","0","0","0",""
"","Rashad Fenton","CB","KC","15","11","1","0","1","0","4","0","1",""
"","Dee Ford","DE","SF","14","10","7","7","2","0","1","0","0",""
"","D.J. Reed","CB","SF","13","11","0","0","1","1","2","1","0",""
"","Raheem Mostert","RB","SF","11","8","0","0","0","1","0","0","0",""
"","Mark Nzeocha","OLB","SF","10","8","0","0","0","0","1","0","1",""
"","Jullian Taylor","DT","SF","9","7","1","0","0","1","1","0","0",""
"","Dorian O'Daniel","OLB","KC","8","5","0","0","0","1","0","0","0",""
"","Byron Pringle","WR","KC","7","4","0","0","0","0","0","0","0",""
"","George Kittle","TE","SF","6","6","0","0","0","0","0","0","0",""
"","Kentavius Street","DE","SF","4","4","0","0","0","0","0","0","0",""
"","Demone Harris","OLB","KC","4","4","1","0","0","0","0","0","0",""
"","Michael Person","G","SF","3","3","0","0","0","0","0","0","0",""
"","Richie James","WR","SF","3","1","0","0","0","0","0","0","0",""
"","Mitchell Schwartz","RT","KC","2","2","0","0","0","0","0","0","0",""
"","James Winchester","LS","KC","2","1","0","0","0","0","0","0","0",""
"","Laken Tomlinson","G","SF","2","2","0","0","0","0","0","0","0",""
"","Mitch Wishnowsky","P","SF","2","2","0","0","0","0","0","0","0",""
"","Joe Staley","LT","SF","1","1","0","0","0","0","0","0","0",""
"","Travis Kelce","TE","KC","1","1","0","0","0","0","0","0","0",""
"","Sammy Watkins","WR","KC","1","1","0","0","0","0","0","0","0",""
"","Tevin Coleman","RB","SF","1","1","0","0","0","0","0","0","0",""
"","Tyreek Hill","WR","KC","1","1","0","0","0","0","0","0","0",""
"","Martinas Rankin","G","KC","1","1","0","0","0","0","0","0","0",""
"","Deebo Samuel","WR","SF","1","1","0","0","0","0","0","0","0",""
"","Darwin Thompson","RB","KC","1","1","0","0","0","0","0","0","0",""
"","Kevin Givens","DT","SF","1","1","0","0","0","0","0","0","0",""
"","Breeland Speaks","DE","KC","0","0","0","0","0","0","0","0","0",""
"","Tim Harris","CB","SF","0","0","0","0","0","0","0","0","0",""
