Rank,Player,Pos,Team,ATT,YD,YD/ATT,TD,FUM
,Christian McCaffrey,RB,CAR,574,"2,774",9.6,30,2
,Nick Chubb,RB,CLE,298,"1,494",5,8,3
,Ezekiel Elliott,RB,DAL,301,"1,357",4.5,12,3
,Christopher Carson,RB,SEA,278,"1,230",4.4,7,7
,Lamar Jackson,QB,BAL,176,"1,206",6.9,7,9
,Leonard Fournette,RB,JAC,265,"1,152",4.3,3,1
,Josh Jacobs,RB,OAK,242,"1,150",4.8,7,1
,Joe Mixon,RB,CIN,278,"1,137",4.1,5,0
,Dalvin Cook,RB,MIN,250,"1,135",4.5,13,4
,Marlon Mack,RB,IND,247,"1,091",4.4,8,0
,Aaron Jones,RB,GB,236,"1,084",4.6,16,3
,Mark Ingram,RB,BAL,202,"1,018",5,10,2
,Phillip Lindsay,RB,DEN,224,"1,011",4.5,7,0
,Saquon Barkley,RB,NYG,217,"1,003",4.6,6,1
,Sony Michel,RB,NE,247,912,3.7,7,2
,Adrian Peterson,RB,WAS,211,898,4.3,5,3
,David Montgomery,RB,CHI,242,889,3.7,6,2
,Todd Gurley,RB,LAR,223,857,3.8,12,3
,Miles Sanders,RB,PHI,179,818,4.6,3,2
,Alvin Kamara,RB,NO,171,797,4.7,5,4
,Le'Veon Bell,RB,NYJ,245,789,3.2,3,1
,Devin Singletary,RB,BUF,151,775,5.1,2,4
,Raheem Mostert,RB,SF,137,772,5.6,8,2
,Ronald Jones II,RB,TB,172,724,4.2,6,3
,Devonta Freeman,RB,ATL,184,656,3.6,2,3
,Latavius Murray,RB,NO,146,637,4.4,5,0
,Tevin Coleman,RB,SF,137,544,4,6,0
,Kyler Murray,QB,ARI,93,544,5.8,4,5
,Josh Allen,QB,BUF,109,510,4.7,9,14
,Damien Williams,RB,KC,111,498,4.5,5,1
,Royce Freeman,RB,DEN,132,496,3.8,3,0
,James Conner,RB,PIT,116,464,4,4,1
,Alexander Mattison,RB,MIN,100,462,4.6,1,1
,Jamaal Williams,RB,GB,107,460,4.3,1,0
,Tony Pollard,RB,DAL,86,455,5.3,2,1
,Benny Snell Jr.,RB,PIT,108,426,3.9,2,1
,Deshaun Watson,QB,HOU,82,413,5,7,10
,Duke Johnson,RB,HOU,83,410,4.9,2,1
,Kerryon Johnson,RB,DET,113,403,3.6,3,1
,Bo Scarbrough,RB,DET,89,377,4.2,1,1
,Rashaad Penny,RB,SEA,65,370,5.7,3,1
,David Johnson,RB,ARI,94,345,3.7,2,1
,Gardner Minshew,QB,JAC,67,344,5.1,0,13
,Russell Wilson,QB,SEA,75,342,4.6,3,7
,Jordan Wilkins,RB,IND,51,307,6,2,0
,Chase Edmonds,RB,ARI,60,303,5,4,0
,Rex Burkhead,RB,NE,65,302,4.6,3,1
,Daniel Jones,QB,NYG,45,279,6.2,2,18
,Mike Boone,RB,MIN,49,273,5.6,3,0
,Ty Johnson,RB,DET,63,273,4.3,0,1
,James White,RB,NE,67,263,3.9,1,1
,Malcolm Brown,RB,LAR,69,255,3.7,5,0
,Derrius Guice,RB,WAS,42,245,5.8,2,0
,Boston Scott,RB,PHI,61,245,4,5,4
,Ryan Fitzpatrick,QB,MIA,54,243,4.5,4,9
,Carson Wentz,QB,PHI,62,243,3.9,1,16
,Jacoby Brissett,QB,IND,56,228,4.1,4,7
,Justice Hill,RB,BAL,58,225,3.9,2,0
,Patrick Mahomes,QB,KC,43,218,5.1,2,3
,Tarik Cohen,RB,CHI,64,213,3.3,0,3
,Dion Lewis,RB,TEN,54,209,3.9,0,1
,Justin Jackson,RB,LAC,29,200,6.9,0,0
,Nyheim Hines,RB,IND,52,199,3.8,2,1
,Mitchell Trubisky,QB,CHI,48,193,4,2,5
,Aaron Rodgers,QB,GB,46,183,4,1,4
,Jaylen Samuels,RB,PIT,66,175,2.7,1,1
,Giovani Bernard,RB,CIN,53,170,3.2,0,2
,Patrick Laird,RB,MIA,62,168,2.7,1,0
,Deebo Samuel,WR,SF,14,159,11.4,3,2
,Matt Ryan,QB,ATL,34,147,4.3,1,9
,Darrell Henderson,RB,LAR,39,147,3.8,0,0
,Baker Mayfield,QB,CLE,28,141,5,3,6
,Darrel Williams,RB,KC,41,141,3.4,3,1
,Kalen Ballage,RB,MIA,74,135,1.8,3,0
,Myles Gaskin,RB,MIA,36,133,3.7,1,0
,Curtis Samuel,WR,CAR,19,130,6.8,1,0
,Darwin Thompson,RB,KC,37,128,3.5,1,0
,Kerrith Whyte,RB,PIT,24,122,5.1,0,0
,Robert Woods,WR,LAR,17,115,6.8,1,0
,Travis Homer,RB,SEA,18,114,6.3,0,0
,Wayne Gallman,RB,NYG,29,110,3.8,2,1
,Ryquell Armstead,RB,JAC,35,108,3.1,0,0
,Ito Smith,RB,ATL,22,106,4.8,1,0
,Cordarrelle Patterson,WR,CHI,17,103,6.1,0,0
,Dwayne Haskins,QB,WAS,20,101,5,0,6
,Christian Kirk,WR,ARI,10,93,9.3,0,0
,Trey Edmunds,RB,PIT,22,92,4.2,0,0
,Steven Sims Jr.,WR,WAS,9,85,9.4,1,1
,Derek Carr,QB,OAK,27,82,3,2,7
,Jonnu Smith,TE,TEN,4,78,19.5,0,0
,Ryan Finley,QB,CIN,10,77,7.7,0,4
,Andy Dalton,QB,CIN,32,73,2.3,4,8
,Sterling Shepard,WR,NYG,6,72,12,0,0
,Drew Lock,QB,DEN,18,72,4,0,3
,Robert Griffin III,QB,BAL,20,70,3.5,0,0
,Brandon Bolden,RB,NE,15,68,4.5,3,0
,Devlin Hodges,QB,PIT,21,68,3.2,0,5
,Matthew Stafford,QB,DET,20,66,3.3,0,5
,Kirk Cousins,QB,MIN,31,63,2,1,10
,T.J. Yeldon,RB,BUF,17,63,3.7,0,1
,Jimmy Garoppolo,QB,SF,46,62,1.3,1,10
,Sam Darnold,QB,NYJ,33,62,1.9,2,11
,Stefon Diggs,WR,MIN,5,61,12.2,0,4
,A.J. Brown,WR,TEN,3,60,20,1,1
,Brandin Cooks,WR,LAR,6,52,8.7,0,0
,Vyncint Smith,WR,NYJ,3,52,17.3,1,1
,Qadree Ollison,RB,ATL,22,50,2.3,4,1
,N'Keal Harry,WR,NE,5,49,9.8,0,0
,Albert Wilson,WR,MIA,5,45,9,0,0
,Mason Rudolph,QB,PIT,21,42,2,0,4
,Diontae Johnson,WR,PIT,4,41,10.2,0,5
,Jared Goff,QB,LAR,33,40,1.2,2,10
,D.J. Moore,WR,CAR,6,40,6.7,0,2
,Tom Brady,QB,NE,26,34,1.3,3,4
,Calvin Ridley,WR,ATL,2,34,17,0,0
,Parris Campbell,WR,IND,4,34,8.5,0,3
,Alex Erickson,WR,CIN,5,33,6.6,0,4
,Teddy Bridgewater,QB,NO,28,31,1.1,0,1
,Deonte Harris,WR,NO,4,31,7.8,0,3
,David Blough,QB,DET,8,31,3.9,0,1
,Julian Edelman,WR,NE,8,27,3.4,0,3
,Derek Carrier,TE,OAK,1,27,27,0,0
,Mike Davis,RB,CAR,13,27,2.1,0,0
,Dede Westbrook,WR,JAC,5,27,5.4,0,1
,Devine Ozigbo,RB,JAC,9,27,3,0,0
,Nick Foles,QB,JAC,4,23,5.8,0,2
,Tyler Boyd,WR,CIN,4,23,5.8,0,2
,Tyreek Hill,WR,KC,8,23,2.9,0,0
,Josh Reynolds,WR,LAR,5,23,4.6,0,0
,George Kittle,TE,SF,5,22,4.4,0,1
,Will Grier,QB,CAR,7,22,3.1,0,1
,Wes Hills,RB,DET,10,21,2.1,2,0
,D’Ernest Johnson,RB,CLE,4,21,5.2,0,0
,Joe Flacco,QB,DEN,12,20,1.7,0,8
,Taylor Gabriel,WR,CHI,3,20,6.7,0,0
,DJ Chark,WR,JAC,2,20,10,0,0
,DeAndre Hopkins,WR,HOU,2,18,9,0,0
,Dare Ogunbowale,RB,TB,11,17,1.5,2,2
,Courtland Sutton,WR,DEN,3,17,5.7,0,2
,Mecole Hardman,WR,KC,4,17,4.2,0,2
,Alec Ingold,FB,OAK,10,17,1.7,0,0
,Golden Tate,WR,NYG,1,16,16,0,1
,Keenan Allen,WR,LAC,3,16,5.3,0,0
,Samaje Perine,RB,MIA,5,16,3.2,0,0
,Zach Pascal,WR,IND,2,16,8,0,0
,Scott Miller,WR,TB,2,16,8,0,0
,Marquise Goodwin,WR,SF,1,15,15,0,0
,Andy Isabella,WR,ARI,4,15,3.8,0,0
,Keke Coutee,WR,HOU,2,14,7,1,1
,Josh Rosen,QB,MIA,3,13,4.3,0,1
,Sammy Watkins,WR,KC,2,12,6,0,2
,Russell Gage,WR,ATL,4,12,3,0,1
,Josh Adams,RB,NYJ,8,12,1.5,0,0
,Damien Harris,RB,NE,4,12,3,0,0
,Mohamed Sanu,WR,NE,3,11,3.7,0,0
,Alex Armah,FB,CAR,6,11,1.8,1,0
,D.K. Metcalf,WR,SEA,2,11,5.5,0,3
,Dexter Williams,RB,GB,5,11,2.2,0,0
,"Odell Beckham, Jr.",WR,CLE,3,10,3.3,0,1
,Jarvis Landry,WR,CLE,1,10,10,0,0
,T.J. Logan,RB,TB,3,10,3.3,0,0
,Da'Mari Scott,WR,NYG,2,10,10,0,0
,Buddy Howell,RB,HOU,5,10,2,0,0
,Johnny Holton,WR,PIT,1,9,9,0,0
,Josh Ferguson,RB,WAS,3,9,3,0,0
,Jamal Agnew,CB,DET,1,9,9,0,1
,Marquez Valdes-Scantling,WR,GB,2,9,4.5,0,0
,Dawson Knox,TE,BUF,1,9,9,0,0
,Jordan Scarlett,RB,CAR,4,9,2.2,0,0
,Chris Godwin,WR,TB,1,8,8,0,0
,Ryan Nall,RB,CHI,2,8,4,0,0
,Ben Roethlisberger,QB,PIT,1,7,7,0,1
,Andre Roberts,WR,BUF,1,7,7,0,1
,Tyrod Taylor,QB,LAC,10,7,0.7,0,0
,Patrick DiMarco,FB,BUF,3,7,2.3,0,0
,Kyle Juszczyk,FB,SF,3,7,2.3,0,0
,John Brown,WR,BUF,2,7,3.5,0,0
,Marvin Hall,WR,DET,1,7,7,0,0
,Evan Engram,TE,NYG,3,7,2.3,0,0
,Will Dissly,TE,SEA,1,7,7,0,1
,Adam Thielen,WR,MIN,4,6,1.5,1,0
,De’Lance Turner,RB,MIA,4,6,1.5,0,0
,Nick Scott,S,LAR,1,6,6,0,0
,Olabisi Johnson,WR,MIN,1,6,6,0,0
,Colin Jones,FS,CAR,1,5,5,0,0
,Darren Waller,TE,OAK,2,5,2.5,0,1
,Jakeem Grant,WR,MIA,4,5,1.2,1,2
,Travis Kelce,TE,KC,1,4,4,1,1
,Jamison Crowder,WR,NYJ,1,4,4,0,0
,Erik Harris,S,OAK,1,4,4,0,0
,John Ross,WR,CIN,3,4,1.3,0,1
,Cooper Kupp,WR,LAR,2,4,2,0,3
,James Develin,FB,NE,2,3,1.5,0,0
,Zay Jones,WR,OAK,1,3,3,0,0
,Keesean Johnson,WR,ARI,1,3,3,0,1
,Andrew Beck,TE,DEN,1,3,3,0,0
,Brian Hoyer,QB,IND,8,2,0.2,0,2
,Alshon Jeffery,WR,PHI,1,2,2,1,0
,Vance McDonald,TE,PIT,1,2,2,0,1
,Allen Robinson,WR,CHI,1,2,2,0,0
,Willie Snead,WR,BAL,2,2,1,0,0
,Mike Williams,WR,LAC,1,2,2,0,0
,Trevon Wesco,FB,NYJ,1,2,2,0,0
,Marqise Lee,WR,JAC,1,1,1,0,0
,Adam Humphries,WR,TEN,1,1,1,0,1
,Andy Janovich,FB,DEN,1,1,1,1,0
,Trace McSorley,QB,BAL,1,1,1,0,0
,Brett Kern,P,TEN,1,0,0,0,0
,Marvin Jones,WR,DET,2,0,0,0,0
,Paul Richardson,WR,WAS,1,0,0,0,0
,Gerald Everett,TE,LAR,1,0,0,0,0
,Quenton Nelson,G,IND,1,0,0,0,0
,Ryan Griffin,QB,TB,4,-1,-0.2,0,0
,Anthony Miller,WR,CHI,1,-1,-1,0,1
,Richie James,WR,SF,2,-1,-0.5,0,1
,Cam Newton,QB,CAR,5,-2,-0.4,0,2
,Jarrett Stidham,QB,NE,2,-2,-1,0,0
,Matt Schaub,QB,ATL,3,-3,-1,0,1
,Julio Jones,WR,ATL,2,-3,-1.5,0,1
,Garrett Gilbert,QB,CLE,3,-3,-1,0,0
,Drew Brees,QB,NO,9,-4,-0.4,1,0
,Matt Barkley,QB,BUF,2,-4,-2,0,3
,Bryan Anger,P,HOU,1,-5,-5,0,0
,Tyler Lockett,WR,SEA,4,-5,-1.2,0,1
,Kalif Raymond,WR,TEN,1,-5,-5,0,1
,Jarius Wright,WR,CAR,1,-7,-7,0,0
,Tim Boyle,QB,GB,5,-7,-1.4,0,0
,Jordan Berry,P,PIT,2,-8,-4,0,3
,Michael Thomas,WR,NO,1,-9,-9,0,1
,Noah Fant,TE,DEN,3,-12,-4,0,1
