Team,Year,Offense,Defense,ST,Winner/Loser
Ravens,2013,59859476,46729028,3735000,Winner
49rs,2013,56353814,53274906,6831666,Loser
Seahawks,2014,59250976,48627119,3987500,Winner
Broncos,2014,68482945,52253590,4134862,Loser
Patriots,2015,67360489,48928609,5163000,Winner
Broncos,2016,77437223,52898890,1731766,Winner
Patriots,2017,77691138,68546986,7085000,Winner
Eagles,2018,83729370,69566123,1672500,Winner
Patriots,2019,82692343,81127725,4252097,Winner
49rs,2020,92347054,86038773,6851018,Winner
Seahawks,2015,70473014,51249852,5670000,Loser
Panthers,2016,75199577,42619449,7893290,Loser
Falcons,2017,90699851,59109025,6663334,Loser
Patriots,2018,82677172,72223999,7860000,Loser
Rams,2019,85063749,73906761,6012000,Loser
Chiefs,2020,101825500,79482297,6815000,Loser
