RANK,TEAM,WIN %,SIGNED,AVG AGE,ACTIVE,DEAD,Year,Winner/Loser
1,Browns,nan,57,24.95,90846127,13777043,2013,N/A
2,Jaguars,nan,61,24.9,76481330,35388734,2013,N/A
3,Eagles,nan,55,25.64,113332086,12079098,2013,N/A
4,Bills,nan,56,25.41,93133764,18337408,2013,N/A
5,Panthers,nan,59,26.56,87661776,18607423,2013,N/A
6,Packers,nan,59,25.1,105630986,3119288,2013,N/A
7,Dolphins,nan,55,25.69,83538929,12900362,2013,N/A
8,Titans,nan,56,25.96,108433715,12550074,2013,N/A
9,Broncos,nan,59,26.53,118575997,11883003,2013,N/A
10,Bengals,nan,61,25.93,114672294,8141422,2013,N/A
11,Cardinals,nan,60,26.62,98975699,18449362,2013,N/A
12,Raiders,nan,58,25.83,62911225,55371535,2013,N/A
13,Patriots,nan,55,25.64,95721433,16697929,2013,N/A
14,Jets,nan,60,25.87,97161812,22421993,2013,N/A
15,Buccaneers,nan,62,25.42,107554078,14407084,2013,N/A
16,Cowboys,nan,58,25.79,96138211,16379985,2013,N/A
17,49ers,nan,55,26.35,111080375,5256877,2013,Loser
18,Chargers,nan,59,25.93,101204163,12298555,2013,N/A
19,Bears,nan,57,27.04,119272918,6199751,2013,N/A
20,Seahawks,nan,57,25.54,113492822,8368014,2013,N/A
21,Lions,nan,57,26.39,97903420,14829672,2013,N/A
22,Chiefs,nan,57,25.47,115279528,19028711,2013,N/A
23,Texans,nan,63,25.53,109726654,6812448,2013,N/A
24,Falcons,nan,58,26,100229932,17155771,2013,N/A
25,Vikings,nan,58,25.59,119282647,4909405,2013,N/A
26,Saints,nan,56,26.41,102449629,5880872,2013,N/A
27,Redskins,nan,63,26.1,97089614,6625307,2013,N/A
28,Steelers,nan,58,26.24,99276546,10959577,2013,N/A
29,Rams,nan,55,24.89,101325111,14665104,2013,N/A
30,Colts,nan,59,26.24,109728023,10847687,2013,N/A
31,Ravens,nan,55,26.05,108485383,17514344,2013,Winner
32,Giants,nan,57,26.19,96939843,8936393,2013,N/A
1,Browns,nan,60,25.55,111584344,20541725,2014,N/A
2,Jaguars,nan,64,24.97,103149641,21765907,2014,N/A
3,Jets,nan,60,25.75,96032661,19245928,2014,N/A
4,Eagles,nan,56,25.96,112210669,10190533,2014,N/A
5,Titans,nan,61,26.2,97288788,12688893,2014,N/A
6,Bengals,nan,59,25.81,123997221,5142081,2014,N/A
7,Packers,nan,60,25.4,127059943,5477890,2014,N/A
8,Ravens,nan,68,25.54,108719340,14865768,2014,N/A
9,Raiders,nan,62,26,88804054,17835002,2014,N/A
10,Patriots,nan,59,25.68,106914393,18665581,2014,N/A
11,Seahawks,nan,60,25.6,104081005,17968453,2014,Winner
12,Cowboys,nan,57,25.93,100529973,28302882,2014,N/A
13,Dolphins,nan,62,25.61,121775111,8367964,2014,N/A
14,Texans,nan,61,25.54,107817768,20990794,2014,N/A
15,Falcons,nan,59,26.32,112913137,11065205,2014,N/A
16,Steelers,nan,54,26.33,116094468,13435466,2014,N/A
17,Buccaneers,nan,60,25.5,122260082,13814575,2014,N/A
18,49ers,nan,64,26.1,109080815,10210497,2014,N/A
19,Bills,nan,57,25.54,116041275,27015831,2014,N/A
20,Bears,nan,60,26.2,104027338,18280371,2014,N/A
21,Broncos,nan,57,25.93,123313050,9483329,2014,Loser
22,Colts,nan,56,26.84,100629580,5902931,2014,N/A
23,Saints,nan,60,26.2,108853726,16327000,2014,N/A
24,Chargers,nan,57,26.51,104154985,16440510,2014,N/A
25,Rams,nan,57,25.18,120120288,8402953,2014,N/A
26,Giants,nan,62,26.16,104260667,12642349,2014,N/A
27,Lions,nan,59,26.46,120697729,9379143,2014,N/A
28,Redskins,nan,61,25.87,109161929,16633031,2014,N/A
29,Cardinals,nan,57,26.14,99264014,15708766,2014,N/A
30,Panthers,nan,54,26.07,89069888,27093734,2014,N/A
31,Chiefs,nan,59,25.81,103806517,9407748,2014,N/A
32,Vikings,nan,59,25.32,99364225,8766804,2014,N/A
